NUM,EXPECTED,CXM46A_qwerty,# characters,edit distance
4,四十零歲呀四十六歲到啦,四十零稅啊四十六歲到喇,11,3
5,有太太啦一個仔啦同埋工人囉,有太太啦一個仔喇同埋工人囖,13,2
6,我係最大嘅,我係最大嘅,5,0
7,香港出世,香港出細,4,1
9,住咗十一年到啦,住咗十一年到喇,7,1
10,嗯,嗯,1,0
12,係樓嚟嘅,係留來嘅,4,2
13,冇錯,冇錯,2,0
14,喺住咗十四年到,喺住咗十四年到,7,0
15,知道,支度,2,2
16,爸爸喺大陸,爸巴喺大陸,5,1
17,媽媽喺香港,嫲媽喺香港,5,1
18,因為要嚟香港搵食,因為要嚟香港揾食,8,1
19,所以啫係喺大陸搵唔到食就嚟香港,所以啫係喺大陸揾唔到食就來香港,15,2
20,就啫係生活囉咁㗎,就遮係生活囉噉𡃉,8,3
21,嗯嗯,嗯嗯,2,0
23,都有嘅,都有嘅,3,0
24,因為以前佢屋企好窮,因為以前佢屋企好虹,9,1
25,就將佢自己屋企人將佢自己賣咗賣咗去第二度,就張佢自己屋企人將佢賣咗去第二度,20,5
26,賣咗去第二家人,賣咗去第二家人,7,0
27,第二家人就開始啫係當然佢自己係好有錢嘅好有錢嘅嗰家人,第二家人就開始啫係當然佢自己係好有前嘅好有前嘅嗰家人,26,2
28,但係呢就末落咗之後就自己跑落嚟香港,但係呢就U落咗之後就自己跑落嚟香港,17,1
29,咁樣,咁樣,2,0
30,當然啦你佢地嚟到香港會投孝投靠佢嗰個阿叔,當然喇你佢哋來到香港會頭U頭靠佢嗰個阿叔,20,6
31,而當然嗰時辛苦當然就一定辛苦啦未有身份證就搵唔到野做嘅,移當然嗰時辛苦當然就一定辛苦喇未有新份正就揾唔到嘢做嘅,27,6
32,就開始領到身份證之後呢先慢慢去出去自己去搵搵到自己個另外一個一個天地,就開始領到新份正之後呢先萬慢去出去自己去揾揾到自己嗰另外一個一個天地,34,6
33,嗄咁樣囉嗯嗯,下噉樣囉嗯嗯,6,2
34,社區精神我住嗰區呢係應該係新新發展區嚟嘅,社區蒸神我住嗰區呢係應該係新新發剪區來嘅,20,3
35,咁而家樣樣野都開始個配套已經開始開始完善㗎啦,噉而家樣樣嘢都開始個U兔已經開始開始完善𡃉嚹,22,6
36,嗄比以前啫係做開荒牛嗰時呢爭好遠因為我住咗已經十四年啦,下俾以前姐係做開方牛嗰時呢曾好遠因為我住咗已經十四年嚹,27,6
37,啫係十四年之前呢真係真係個交通呢完全運輸呢完全係完全係唔方便嘅,遮係十四年之前呢真係真係個膠通呢完全係完全係唔方邊嘅,31,8
38,又冇地鐵,又冇地鐵,4,0
39,而家開始有地鐵啦就會比較完美完善啲,而家開始有地鐵喇就會俾較完尾完善啲,17,3
40,咁啫係開始個發展嗰個將軍澳區發展呢已經開始慢慢去走上去近住市區嗰個位置啦,噉遮係開始個發剪嗰個將軍澳區發剪呢已經開始萬慢去走上去近住市區嗰個位至嚹,36,7
41,嗯嗯咁樣囉,嗯嗯咁樣囉,5,0
42,認識當然認識啦我喺隔離鄰舍都會都會大家都有打招呼呀傾吓偈呀見到面打招呼呀都都幾和睦嗄咁樣囉,認熄當然認識喇我喺隔離倫瀉都會都會大家都有打招呼啊傾下偈啊見到面打招呼啊都都幾和U下噉樣囖,45,12
43,有時會聚埋一齊因為大家都有有有一個鄰居都同我有個工作個伙伴有有關係嘅,有時會U埋一齊因為大家都有有有一個倫居都同我有個工作個火U有有關係嘅,34,4
44,同埋有啲鄰居都需要我有時間唔中要幫吓手嘅,同埋有啲輪居都需要我有時間唔鍾要幫下手嘅,20,3
45,啫係大家都互相幫忙,遮係大家都U傷幫忙,9,3
46,其實都大家都關係都好良好嘅,其實都大家都關係都好涼好嘅,13,1
47,冇問題,冇問題,3,0
48,我就未曾試過但係有鄰居試過要我地去幫手,我就未層試過但係有倫居試過要我哋去幫手,19,3
49,因為有個鄰居個太太就搵唔到佢先生,因為有個倫居個太太就揾唔到佢先生,16,2
50,所以打電話嚟向我地屋企啫係向我求救啦問我去幫佢拍吓門啦問吓睇吓佢喺唔喺屋企呀都嘗試過咁樣做,所以打電話來向我哋屋企啫係向我求救嚹問我去幫佢泊下門喇問下睇下佢喺唔喺屋企啊都常試嗰噉樣做,45,12
51,所以有時啫係可以講一句講一句啦就話遠親不如近鄰啦,所以有時啫係可以講一句講一句喇就話遠親不如近輪喇,24,3
52,所以有時真係需要真係需要自己鄰居幫手呢都盡量都幫幫得到就幫,所以有時真係需要真係需要自己倫居幫手U都盡量都幫幫得到就幫,29,2
53,咁樣嗯嗯,咁樣嗯嗯,4,0
55,有冇試過都有,有冇試過都有,6,0
56,我樓上呢就係我好老友嘅朋友,我樓上屋就係我好老有嘅朋友,13,2
57,啫係大家都係好拍好朋友啦,遮係大家都係好泊好朋友喇,12,3
58,咁有時我地兩兩兩個我同我太太都唔得閒嘅時候呢就要需要佢地幫手啦,噉有時我哋兩兩兩個我同我太太都唔得閒嘅時候啊就要需要佢哋幫手喇,31,5
59,咁都會試過會擺底個小朋友喺個鄰居個屋企揍揍一段時間咁樣囉,噉都會試過會擺低個小朋友喺個倫居個屋企臭臭一段時間噉樣囖,28,7
61,我住嗰區呢其實治安都算良好同埋我而家住緊個屋苑呢個治安就非常之冇問題非常之好嘅,我住嗰區嘞其實字安都算涼好同埋我而家住𡁵個屋院囖個字安就飛常之冇問題非常之好嘅,39,8
62,所以其實都唔係好擔心我㗎呢度我個屋苑個治安個問題,所以其實都唔係好擔心我𡃉枝度我個屋丸個字安個問題,24,4
63,所以所以都唔係好大問題啫係啫係喺我地依一區嗰邊,所以所以都唔係好大問題啫係遮係喺我哋依一區嗰邊,23,2
64,都算係良好都幾好嘅,都算係U好都幾好嘅,9,1
65,當然有啦,當然有喇,4,1
66,係離開香港囉有時會返去外地做野內地做野啦,係離開香港囖有時會返去外地做嘢內地做嘢喇,20,4
67,有時會出去出面旅行啦,有時會出去出面旅行喇,10,1
68,都會離開香港嗄,都會離開香港下,7,1
69,當然會有啦,當然會有喇,5,1
70,香港其實其實以前呢我地香港係我家,香港其實其實以前囖我哋香港係我加,16,3
71,一定係香港係最好㗎啦最㗎啦最好一個好地方呀,一定係香港係最好𡃉嚹最𡃉嚹最好一個好地方啊,21,5
72,但係呢但係有時我去過其他國家譬如去過新加坡呀馬來西亞有時佢地覺得佢地嘅佢地嘅佢地嘅文化同埋管治呢同香港差唔多,但係哩但係有時我去過其他國家譬如去過新𡃉坡呀馬來西啊有時佢哋覺得佢哋嘅佢哋嘅佢哋嘅文化同埋管自爹同香港差唔多,54,9
73,但係呢人地嗰個嗰個嗰個生活水平呢同埋香港呢而家開始香港慢慢去漸漸不及人地人地個地方,但係哩人哋嗰個嗰個嗰個生活水平嘞同埋香港囖而家開始香港萬晚去UU筆及人哋人哋個地方,41,11
74,所以有時我覺得身為香港人其實本來好驕傲嘅香港其實係我係好鐘意香港,所以有時我覺得新為香港人其實本來好UU嘅香港其實係我係好鍾意香港,32,4
75,但係有有有少少影響到香港而家個政治政治氣氛呀令到令到令到我個思想開始有少少改變,但係有有有少少影響到香港而家個正自正自汽U啊令到令到令到我個師相開始有少少改變,39,9
76,去下旅行呀,去吓裏行啊,5,3
77,聚下餐呀,罪下餐啊,4,2
78,傾下偈呀,傾下計啊,4,2
79,有時真係要去出下出下去去玩下咁樣多數都係咁樣,有時候真係要去出下出下去去玩下噉樣多數刀係噉樣,22,4
80,食肆啦尤其是去去去去去周圍去食唔同嘅國家嘅嘅嘅嘅嘅餐廳啦,食試啦尤其是去去去去去周圍去食唔同嘅國家嘅嘅嘅嘅嘅餐廳喇,28,2
81,同埋我地都去好鐘意去去品嘗其他每個國家嘅嘅美食,同埋我哋都去好鍾意去去品常其他每個國家嘅嘅美食,23,3
82,咁我地都會都會去嘅,噉我哋都會都會去嘅,9,2
83,總之有邊度好地方我地就會去食㗎啦,總之有邊度好地方我哋就會去食𡃉嚹,16,3
84,嗄咁就當然食完啫係一路食一路一路一路一路一路傾偈係特別特別關係特別係搞得開心啲嘅,下噉就當然食完姐係一路食一路一路一路一路一路傾偈係特別特別關係特別係搞得開心啲嘅,40,3
86,冇錯我喺香港,冇錯我喺香港,6,0
87,沙士其實嗰個時期都其實都幾點樣講講到講到香港係完全係一個低潮啦,莎士其實嗰個時U都其實都幾點樣講講到講到香港係完全係一個低潮喇,31,3
88,一個係一個係人都要載出街都要載口罩嘅,一個係一個係人都要帶出街都要戴口罩嘅,18,2
89,另外另外另外又要每次都要每次都要啫係好似好似健康檢查咁樣,另外另外另外又要每次都要每次都要啫係好似好似健康檢查噉樣,28,1
90,完全係每啫係出親街就要去去去好似周圍都唔去得去街盡量就盡盡量都留番喺屋企,完全係每啫係出親街就要去去去好似周圍都唔去得去街盡氧就盡盡量都係留返喺屋企,36,3
91,所以所以連我地嘅啫係工作呀都有時會停頓停頓咗好多當然生活亦都係最困難嘅時期啦,所以所以連我哋嘅啫係工作啊都有時會停頓停頓咗好多當然生活亦都係最困難嘅時旗喇,38,4
92,咁樣所以都係幾幾傷感㗎嗰嗰段時間,咁樣所以都係幾幾傷噉𡃉嗰嗰段時間,16,2
94,我就好彩一個都唔識,我就好睬一個都唔識,9,1
95,因為真係我啲朋友周邊嘅朋友都好健康,因為真係我啲朋友洲邊嘅朋友都好健康,17,1
96,啫係冇啫係惹到沙士嗰個嗰個嗰個個徵狀算好彩,遮係冇遮係嘢到沙士嗰個嗰個嗰個個精撞算好彩,21,5
98,依個當然啦,依個當然喇,5,1
99,因為有依個有依個沙士令到香港突然間變咗一個一個好危險嘅城市,因為有依個有依個莎士令到香港突然間變咗一個一個好危險嘅成市,29,2
100,突然間好有完結咗之後當然大家會團結起來,日然間好有完結咗之後當然大家會團結起來,19,1
101,都唔會都唔會有再再發生呢啲咁嘅事希望唔會有發生咁嘅事所以大家都大家都好關心大家,都唔會都唔會有再再發生爹啲噉嘅事希望唔會有發生噉嘅事所以大家都大家都好關芯大家,39,4
102,唔同以前唔以前啫係事不關己己不勞心但係依件事喺香港發生咗就當大家都會比較比較關注啲,唔同以前唔以前姐係事不關幾幾不爐心但係依件事喺香港發生咗就當大家都會俾較俾較關蛀啲,41,7
103,所以其實人嗰個人與人嘅關係應該係應該會好啲呀,所以其實人嗰個人語人嘅關係應該係應該會好啲啊,22,2
104,唔會話唔會咁差,唔會話唔會咁差,7,0
105,啫係比之前會好好多,遮係俾之前會好好多,9,2
106,咁囉,噉囖,2,2
107,細個長大啦,細個槳大喇,5,2
108,細個我地好得意嘅,細個我哋好得意嘅,8,1
109,我地屋企都唔需要鎖門,我哋屋企都唔需要鎖門,10,1
110,鎖門去啫係自己喺屋企入面,鎖門去啫係自己喺屋企入面,12,0
111,我地完全係擘開啫係開哂大門呀鐘意周圍周圍走呀,我哋完全係擘開啫係開晒大門啊鍾意周圍周圍走啊,22,5
112,瞓覺呀開哂大門自己自己自己自己周圍周山走呀周圍去好似香港治安係非常之好㗎細個嗰陣時細個嗰陣時呀吓,瞓覺呀開晒大門自己自己自己自己周圍周閂走啊周圍去好似香港字安係非常之好𡃉細個嗰陣時細個嗰陣時啊吓,48,6
113,嗄完全係冇問題嘅,下完全係冇問題嘅,8,1
114,係完全唔會擔心有賊呀會打劫呀甚至有其他不法嘅不法之徒喺度喺度喺度喺度喺你屋企附近作奸犯科,係完全唔會擔心有炒呀會打劫呀甚至有其他筆法嘅筆發之圖喺度喺度喺度喺度喺你屋企附近作間飯科,44,7
115,唔會有細個絕對唔會有啲咁嘅事完全唔會擔心呢樣野嘅,唔會有細個絕對唔會有啲噉嘅U完全唔會擔心囖樣嘢嘅,24,4
116,嗄大家都為咗自己嘅生活而去努力,下大家都為咗自己嘅生活移去腦力,15,3
117,唔會有依個情況發生呀唔會治安唔會好唔會唔好嘅,唔會有依個情放發生啊唔會自安唔會好唔會唔好嘅,22,3
118,係非常之好嘅細個嗰時,係非常之好嘅細個嗰時,10,0
120,當然係唔同咗絕對係唔同而家香港依個依個依個時代同以前個時代係完全另外一回事,當然係唔同咗絕對係唔同而家香港依個依個依個時代同以前個時代係完全另外一回事,37,0
121,因為以前嘅香港同而家嘅香港係一個分別真係非常之大,因為以前嘅香港同而家嘅香港係一個分別真係非常之大,24,0
122,因為嗱回歸咗啦九七年之後就回歸咗啦,因為拿回歸咗啦九七年之後就回龜咗啦,17,2
123,但係九七年之前嘅香港係非當然係殖民地統治啦,但係九七年之前嘅香港係飛當然係植民地桶字喇,21,5
124,嗰陣時每個人都有工開有工返同錢都唔使擔心嘅,嗰陣時每個人都有功開有功番同錢都唔使擔心嘅,21,3
125,而九七之後個個都好擔心中共係點樣對香港而個個都去移民,而九七之後個個都好擔心中共係點樣對香港而個個都去兒慢,26,2
126,移民之後返返嚟香港亦都係一個一個一個一個一個一個轉機啦一個轉機啦,移民之後返返來香港亦都係一個一個一個一個一個一個轉機喇一個轉機喇,32,3
127,嗄香港始終係佢地自個家啦,下香港始終係佢哋自個加喇,12,4
128,咁返到嚟香港佢地佢地佢地點去搵搵自己嘅生活呢,噉返到離香港佢哋佢哋佢哋點去揾揾自己嘅生活囖,22,8
129,又又又另一個唔同,又又又另一個唔同,8,0
130,但係最近又話政香港政府嘅咁樣嘅要話要政改呢所以令到又好多人心惶惶啦,但係最近又話正香港政府嘅噉樣嘅要話要正改囖所以令到又好多人心惶惶喇,33,5
131,同埋佢對年青人呢已經開始有啲有啲點樣講呀唔係去鼓勵去鼓勵去去佢地去向上爬喎,同埋佢對年青人爹已經開始有啲有啲點樣講啊唔係去股勵去估勵去去佢哋去向上爬喎,37,5
132,係完全係係係好似壓制住佢地,係完全係係係好似壓制住佢哋,13,1
133,唔比佢地去發泄佢地嘅所有嘅所有嘅意見,唔俾佢哋去發U佢哋嘅所有嘅所有嘅意見,18,4
134,所以而家今時嘅香港唔同往日嘅香港,所以而家金時嘅香港唔同往日嘅香港,16,1
136,其實我地嘅以前細細個嘅香港規則,其實我哋嘅以前細細個嘅香港規U,15,2
137,其實冇㗎屋企人屋企人對我地我地呢都其實都幾幾放寬,其實冇𡃉屋企人屋企人對我哋我哋囖都其實都幾幾放歡,24,5
138,我你睇你頭先聽到我頭先咁講啦我地我地細細個周山走個門都唔鎖嘅,我你睇你頭先聽到我頭先噉講喇我哋我哋細細個周山走個門都唔鎖嘅,30,4
139,係啫係好自由自在完全冇擔心過其他嘅野,係遮係好自油自再完全冇擔心過其他嘅嘢,18,4
140,但係而家唔係今時嘅香港就唔係啦,但係而家唔係金時嘅香港就唔係嚹,15,2
141,就個啫係閂埋門就自成一家,就個遮係閂埋門就自成一加,12,2
142,就唔會話好似以前咁樣咁咁,就唔會話好似以前咁樣咁咁,12,0
143,嗄簡直係係係啫係以前隔離鄰舍一叫到呀一呼百應嘅,下鹼直係係係遮係以前隔離倫瀉一叫到啊一呼百應嘅,23,6
144,但係而家就唔同啦而家嘅社會而家嘅香港亦都係唔同咗,但係而家就唔同嚹而家嘅社會而家嘅香港亦都係唔同咗,24,1
145,啫係啫係變質太太太多啦,遮係遮係變揤太太太多嚹,11,4
146,所以今時真係唔同往日啦可以咁講,所以金時真係唔同往日嚹可以噉講,15,3
148,當然係體罰啦當然係比呀媽追十條街嚟去打去去去去去去去籐條炆豬肉啦,當然係體罰喇當然係俾阿媽追十條街來去打去去去去去去去藤條蚊豬肉喇,32,7
149,唔使講㗎依樣野一定係,唔駛講㗎依樣嘢一定係,10,2
150,今時今日嘅而家我啲仔做錯野我亦都唔會去用依樣依樣野去去體罰佢地㗎啦,金時今日嘅而家我啲仔做錯嘢我亦都唔會去用依樣依樣嘢去去睇罰佢哋𡃉嚹,33,7
151,因為時代變遷時代唔同咗,因為時代變遷時袋唔同咗,11,1
152,所以大家自己經歷過嗰個嗰個感受唔同咗所以令到都唔想自己下一代都會有咁嘅咁咁嘅咁嘅結果,所以大家自己經力過嗰個嗰個噉受唔同咗所以令到都唔想自己下一代都會有噉嘅噉噉嘅噉嘅結果,42,6
154,其實某個程度嘅體罰係係有有效嘅,其實某個情度嘅體罰係係有有校嘅,15,2
155,因為點解呢你你要比佢警剔到喂你真係做錯事,因為點解囉你你要俾佢警U到U你真係做錯事,20,4
156,你唔係做錯事點會有體罰呢,你唔係做錯事點會有睇罰U,12,2
157,係咪呀如果你如果你冇做錯事有體罰咁就真係真係依個家長係完全係唔正常啦係咪呀,係咪啊如果你如果你冇做錯事有睇罰噉就真係真係依個家長係完全係唔正常喇係咪啊,37,5
158,咁當然係你做錯事先有體罰啦,噉當然係你做錯事先有睇罰喇,13,3
159,同埋你個你個你個你你唔比心機去去自己向向向住學習方向去去走亦都係亦都係一個好大嘅問題所以其實某程度嘅體罰我係贊成嘅,同埋你個你個你個你你唔俾心機去去自己向向向住學習方向去去走亦都係亦都係一個好大嘅問提所以其實文情道嘅體罰我係讚成嘅,57,6
160,我媽媽係一個點樣講呢,我嫲媽係一個點樣講囖,10,2
161,內內軟外剛嘅嘅嘅人點樣講呢,耐耐遠外缸嘅嘅嘅人點樣講囖,13,5
162,喺表面上係好惡好惡好惡其實內心呢係好不嬲自己仔女一定係痛錫嘅,喺表面上係好惡好惡好惡其實內心囖係好不嬲自己仔女一定係痛錫嘅,30,1
163,啫係打在你身痛在我心,遮係打在你新痛在我心,10,2
